CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,log_Monetary,log_Frequency,Cluster,Cluster_Label,PCA1,PCA2
12346,326,1,77183.6,1,1,4,114,Big Spender (Inactive),11.253955234248428,0.6931471805599453,0,Promising,0.5526197955030004,3.148983900314199
12347,2,7,4310.0,4,4,4,444,Champion,8.368925174747135,2.0794415416798357,3,High Value,1.9750401186974702,0.07022444318548637
12348,75,4,1797.24,2,3,4,234,At Risk,7.494563687769957,1.6094379124341003,0,Promising,0.7658438785626467,0.23539842159465654
12349,19,1,1757.55,3,1,4,314,Hibernating,7.472244884833674,0.6931471805599453,0,Promising,0.1891092154895267,-0.6705148899368766
12350,310,1,334.4,1,1,2,112,Hibernating,5.815323849389109,0.6931471805599453,2,Lost,-2.02720173119243,1.3751222815010922
12352,36,8,2506.04,3,4,4,344,Loyal Customer,7.826858053356098,2.1972245773362196,3,High Value,1.6533672003968887,0.25720577078790613
12353,204,1,89.0,1,1,1,111,Hibernating,4.499809670330265,0.6931471805599453,2,Lost,-2.157490336302141,0.05340020510978562
12354,232,1,1079.4,1,1,3,113,Big Spender (Inactive),6.985086621918461,0.6931471805599453,2,Lost,-1.0786108168115518,1.0448227323309807
12355,214,1,459.4,1,1,2,112,Hibernating,6.132095676847728,0.6931471805599453,2,Lost,-1.4083419410204057,0.6312179906407333
12356,23,3,2811.43,3,3,4,334,Loyal Customer,7.941804157314053,1.3862943611198906,0,Promising,1.032012924957038,-0.18451518373678327
12357,33,1,6207.67,3,1,4,314,Hibernating,8.733701981297274,0.6931471805599453,0,Promising,0.737743252089961,-0.16914964569370278
12358,2,2,1168.06,4,2,3,423,New Customer,7.063955286074528,1.0986122886681098,0,Promising,0.441992956181357,-0.7604549575956039
12359,58,4,6372.58,2,3,4,234,At Risk,8.759916600117213,1.6094379124341003,0,Promising,1.4662448369579986,0.4669821547476654
12360,52,3,2662.06,2,3,4,234,At Risk,7.887231116540211,1.3862943611198906,0,Promising,0.8651550756210189,0.05255978048599439
12361,287,1,189.9,1,1,1,111,Hibernating,5.251749730731702,0.6931471805599453,2,Lost,-2.1913599650890587,1.0047697535843811
12362,3,10,5226.23,4,4,4,444,Champion,8.56163678004062,2.3978952727983707,3,High Value,2.355100203009516,0.2792701219771331
12363,110,2,552.0,2,2,2,222,Hibernating,6.315358001522335,1.0986122886681098,1,Needs Attention,-0.44585694034211254,-0.04140628575674176
12364,8,4,1313.1,4,3,3,433,Loyal Customer,7.180907299649593,1.6094379124341003,0,Promising,0.9364983179739828,-0.4444443294961534
12365,291,2,641.38,1,2,2,122,Lost Customer,6.465180028897591,1.0986122886681098,2,Lost,-1.2476675304328948,1.585617181165177
12367,4,1,168.9,4,1,1,411,New Customer,5.135210028677887,0.6931471805599453,1,Needs Attention,-0.8801891607799534,-1.503773632500226
12370,51,4,3545.69,3,3,4,334,Loyal Customer,8.173770053153254,1.6094379124341003,0,Promising,1.2137093971066728,0.22969401972248657
12371,45,2,1887.96,3,2,4,324,Hibernating,7.543781692052325,1.0986122886681098,0,Promising,0.46854813981865184,-0.24045636302006845
12372,72,3,1298.04,2,3,3,233,At Risk,7.169380809114136,1.3862943611198906,0,Promising,0.4177463858809146,0.011692214252855795
12373,311,1,364.6,1,1,2,112,Hibernating,5.901539839579995,0.6931471805599453,2,Lost,-1.9899132020272503,1.4097659238614806
12374,25,1,742.9300000000001,3,1,3,313,Hibernating,6.6119469443852195,0.6931471805599453,1,Needs Attention,-0.26021529004787247,-0.8765457042584304
12375,11,2,457.5,4,2,2,422,New Customer,6.127960291696519,1.0986122886681098,1,Needs Attention,-0.058818036085238674,-0.9630074936423528
12377,315,2,1628.12,1,2,3,123,Big Spender (Inactive),7.395795270713971,1.0986122886681098,2,Lost,-0.9090170867328824,2.074986159143072
12378,130,1,4008.62,2,1,4,214,Big Spender (Inactive),8.29645175271804,0.6931471805599453,0,Promising,0.05518661646412117,0.5472977698609849
12379,82,2,852.24,2,2,3,223,Big Spender (Inactive),6.749040867823617,1.0986122886681098,1,Needs Attention,-0.09861043465613577,-0.15583880571557102
12380,22,4,2724.81,3,3,4,334,Loyal Customer,7.910520910634419,1.6094379124341003,0,Promising,1.2252877923733854,-0.10286937059158112
12381,5,5,1845.31,4,3,4,434,Loyal Customer,7.520944331624911,1.791759469228055,0,Promising,1.2835894949753885,-0.2869723135744327
12383,185,5,1850.56,1,3,4,134,Lost Customer,7.523783805985769,1.791759469228055,0,Promising,0.41480145154444575,1.2871504359683557
12384,29,2,585.27,3,2,2,322,Potential Loyalist,6.373780434317173,1.0986122886681098,1,Needs Attention,-0.02573439492652077,-0.7318248336768196
12386,338,2,401.9,1,2,2,122,Lost Customer,5.998688392197302,1.0986122886681098,2,Lost,-1.7027953684409247,1.856259785934607
12388,16,6,2780.66,4,4,4,444,Champion,7.930803150780256,1.9459101490553132,0,Promising,1.5713940974015006,0.0012453735155519845
12390,80,1,549.84,2,1,2,212,Hibernating,6.311444385858925,0.6931471805599453,1,Needs Attention,-0.6729197446471208,-0.48610923806493994
12391,22,1,460.89,3,1,2,312,Potential Loyalist,6.1353267674944725,0.6931471805599453,1,Needs Attention,-0.4785762922079898,-1.0459655242083272
12393,72,4,1582.6,2,3,3,233,At Risk,7.3674560152319755,1.6094379124341003,0,Promising,0.7182453773205841,0.1709882601717637
12394,64,2,1272.48,2,2,3,223,Big Spender (Inactive),7.149508589545504,1.0986122886681098,0,Promising,0.18406496185531745,-0.1928468164208917
12395,19,12,3018.63,3,4,4,344,Loyal Customer,8.012889586306857,2.5649493574615367,3,High Value,2.1621644011562573,0.3289504665264894
12397,36,2,2409.9,3,2,4,324,Hibernating,7.7877554007552545,1.0986122886681098,0,Promising,0.6312559627888126,-0.2458189029638854
12398,46,1,1635.66,3,1,3,313,Hibernating,7.400412858792405,0.6931471805599453,1,Needs Attention,0.02348770045051574,-0.4561060938034564
12399,119,4,1108.65,2,3,3,233,At Risk,7.011799929268738,1.6094379124341003,0,Promising,0.317268837474368,0.47493097063298667
12401,303,1,84.3,1,1,1,111,Hibernating,4.446174454497633,0.6931471805599453,2,Lost,-2.6622915085077734,0.9025840176177142
12402,323,1,225.6,1,1,1,111,Hibernating,5.423186348593906,0.6931471805599453,2,Lost,-2.2816356665385245,1.3709311398884079
12403,50,1,427.7,3,1,2,312,Potential Loyalist,6.0607573736039315,0.6931471805599453,1,Needs Attention,-0.6503695196892727,-0.8236387725963802
12405,149,1,1710.39,1,1,4,114,Big Spender (Inactive),7.445061184797548,0.6931471805599453,1,Needs Attention,-0.45263198050492603,0.4575681702149943
12406,22,2,3415.3,3,2,4,324,Hibernating,8.136313373066384,1.0986122886681098,0,Promising,0.8692324086054474,-0.2634614463313146
12407,50,5,1708.12,3,3,4,334,Loyal Customer,7.4437338971514055,1.791759469228055,0,Promising,1.028322699323848,0.0831475249427977
12408,33,5,2888.55,3,3,4,334,Loyal Customer,7.968856059639959,1.791759469228055,0,Promising,1.3670666282049169,0.09233183802986368
12409,79,3,11072.67,2,3,4,234,At Risk,9.312325497408466,1.3862943611198906,0,Promising,1.4308919347480715,0.7167142334184892
12410,309,2,693.3299999999999,1,2,3,123,Big Spender (Inactive),6.542947351813216,1.0986122886681098,2,Lost,-1.2966900211629449,1.7663090318121577
12412,75,3,1226.88,2,3,3,233,At Risk,7.1130443840624835,1.3862943611198906,0,Promising,0.3757189867819563,0.02098731739663444
